KOD			INGILIZCE			TURKCE
292			cotton				pamuk
293			couch				kanepe
294			cough				oksurmek
295			crazy				cilgin
296			curious				merakli
297			customer			musteri
298			cut				kesmek
299			cute				sirin
300			damage				zararvermek
301			dangerous			tehlikeli
302			dead				olu
303			decide				kararvermek
304			deep				derin
305			delete				silmek
306			delicious			lezzetli
307			describe			betimlemek
308			diamond				elmas
309			die				olmek
310			direction			yonvermek
311			discover			kesfetmek
312			discuss				tartismak
313			disturb				rahatsizetmek
314			drawer				cekmece
315			dream				ruya
316			earring				kupe
317			elbow				dirsek
318			elevator			asansor
319			enjoy				tadinicikarmak
320			entertainment			eglence
321			equal				esit
322			escape				cikis,kacis
323			excellent			muhtesem
324			exhausted			cokyorgun,tukenmis
325			expensive			pahali
326			experience			deneyim
327			explain				aciklamak
328			eyebrow				kas
329			eyelash				kirpik
330			eyelid				gozkapagi
331			face				yuz
332			factory				fabrika
333			fail				basarisizolmak
334			famous				unlu
335			fan				hayran
336			feel				hissetmek
337			female				kadin
338			fight				kavgaetmek
339			fill				doldurmak
340			firstaid			ilkyardim
341			flag				bayrak
342			flat				apartmandairesi
343			flour				un
344			fog				sis
345			follow				takipetmek
346			food				gida,yiyecek
347			foreign				yabanci
348			formal				resmi
349			fresh				taze
350			front				on
351			fuel				akaryakit
352			furniture			mobilya
353			future				gelecek
354			garlic				sarimsak
355			gate				kapi
356			generous			comert
357			gift				hediye
358			glad				mutlu
359			glove				eldiven
360			graduate			mezunolmak
361			grass				ot,cimen
362			grocer				bakkal,market
363			grow				buyumek,buyutmek
364			guide				rehber
365			hard				sert
366			harmful				zararli
367			huge				cokbuyuk
368			idea				fikir
369			impossible			imkansiz
370			insect				bocek
371			intelligent			akilli,zeki
372			introduce			tanitmak,tanistirmak
373			invite				davetetmek
374			island				ada
375			jam				recel
376			jar				kavanoz
377			join				katilmak
378			joke				saka
379			journey				seyahat
380			juice				meyvesuyu
381			jump				ziplamak
382			key				anahtar
383			kick				tekme
384			kind				kibar
385			knee				diz
386			knife				bicak
387			lake				gol
388			lamb				kuzu
389			leather				deri
390			leg				bacak
391			lift				asansor
392			lip				dudak
393			lock				kilitlemek
394			lose				kaybetmek
395			loud				yuksekses
396			lovely				sevimli
397			luck				sans
398			magic				sihir
399			mall				alisverismerkezi
400			meat				et
401			medicine			ilac
402			mend				tamiretmek
403			mixed				karisIk
404			monkey				maymun
405			moon				ay
406			mountain			dag
407			mouth				agiz
408			move				hareketetmek,tasinmak
409			nailclippers			tirnakmakasi
410			naughty				yaramaz
411			nervous				endiseli
412			noise				ses
413			novel				roman
414			ocean				okyanus
415			officer				memur,yetkili
416			oil				yag
417			overweight			kilolu
418			pick				toplamak
419			plant				bitki
420			plate				tabak
421			poem				siir
422			point				nokta
423			power				guc
424			prepare				hazirlamak
425			pretty				sevimli
426			price				fiyat
427			produce				uretmek
428			queen				kralice
429			reach				ulasmak
430			reason				sebep
431			record				kaydetmek
432			refuse				reddetmek
433			relation			iliski
434			relax				dinlenmek
435			remotecontrol			kumanda
436			reply				cevaplamak
437			report				raporetmek
438			retire				emekliyeayrilmak
439			rock				kaya
440			rope				ip
441			rude				kaba
442			rule				kural
443			safe				guvenli
444			salary				maas
445			save				kaydetmek
446			scissors			makas
447			seat				koltuk
448			select				secmek
449			send				gondermek
450			serious				ciddi
451			serve				servisyapmak
452			sharp				keskin,sivri
453			shine				parlamak
454			shoulder			omuz
455			shout				bagirmak
456			sign				imzaatmak
457			silent				sessiz
458			simple				basit
459			situation			durum
460			ski				kayak
461			snake				yilan
462			soap				sabun
463			society				sosyete
464			soft				yumusak
465			spider				orumcek
466			stand				ayaktadurmak
467			stone				tas
468			storm				firtina
469			subway				metro
470			sure				eminolmak
471			surprised			sasirmis
472			tailor				terzi
473			taste				tatmak
474			team				takim
475			temperature			derece,isi
476			tent				cadir
477			terrible			berbat
478			throw				atmak,firlatmak
479			tiger				kaplan
480			tissue				kagitmendil
481			tongue				dil
482			touch				dokumak
483			transport			nakil,tasima
484			trouble				dert
485			try				denemek
486			usual				olagan
487			vacation			tatil
488			vacuumcleaner			elektriksupurgesi
489			valuable			degerli
490			vegetable			sebze
491			view				manzara,gorunum
492			voice				ses
493			war				savas
494			warm				ilik
495			warning				uyari
496			weather				hava
497			wet				islak
498			win				kazanmak
499			wine				sarap
500			worry				endise
501			accommodation			konaklama
502			addition			ek,ilave
503			admire				hayranolmak
504			adopt				evlatedinmek
505			adult				yetiskin
506			advertisement			reklam
507			advice				tavsiye
508			affection			sevkat
509			afford				maddiolanagasahipolmak
510			allow				izinvermek
511			amount				miktar
512			annual				yillik
513			anxious				tedirgin,endiseli
514			apologize			ozurdilemek
515			appear				ortayacikmak
516			application			basvuru
517			apply				basvurmak
518			appointment			randevu
519			army				ordu
520			arrange				ayarlamak,duzenlemek
521			art				sanat
522			ashamed				utanmis
523			ashtray				kulluk
524			attack				saldirmak
525			attend				katilmak
526			attention			dikkat
527			attract				etkilemek
528			average				ortalama
529			behave				davranmak
530			belief				inanc
531			belong				aitolmak
532			benefit				fayda
533			bet				bahis
534			bleed				kanamak
535			blood				kan
536			boardingtime			biniszamani
537			boardingcard			biniskarti
538			bone				kemik
539			brake				fren
540			brand				marka
541			brief				kisa
542			bright				parlak
543			bulb				ampul
544			burglar				soyguncu
545			calm				sakin
546			cancel				iptaletmek
547			certain				kesin
548			citizen				vatandas
549			coach				koc,antrenor
550			coast				kiyi
551			coin				madenipara
552			comb				tarak
553			common				yaygin
554			communicate			iletisimkurmak
555			compare				kiyaslamak
556			complain			sIkayetetmek
557			connectedflight			aktarmaliucus
558			consist				olusmak
559			contain				icermek
560			convince			iknaetmek
561			count				saymak
562			crime				suc
563			criticize			elestiriyapmak
564			curtain				perde
565			death				olum
566			decrease			azalmak
567			defend				savunmak
568			departuregate			cikiskapisi
569			destination			varis
570			destroy				yoketmek
571			detail				detay
572			development			gelisim
573			disagree			aynifikirdeolmamak
574			discount			indirim
575			disease				hastalik
576			dive				dalmak
577			divide				bolmek
578			domesticflight			ichatucusu
579			drop				dusurmek
580			drug				ilac,uyusturucu
581			dry				kuru
582			duty				gorev
583			earthquake			deprem
584			education			egitim
585			effort				caba
586			elegant				zarif
587			employer			isveren
588			engine				motor
589			environment			cevre
590			event				etkinlik,olay
591			excuse				mazeret
592			expect				ummak
593			explosion			patlama
594			express				ifadeetmek
595			fact				gercek
596			fair				adil
597			fear				korkmak
598			feed				beslemek
599			field				tarla
600			fist				yumruk
601			fold				katlamak
602			force				zorlamak
603			forgive				affetmek
604			funeral				cenaze
605			gentle				nazik
606			governor			vali
607			ground				zemin
608			guess				tahminetmek
609			guilty				suclu
610			harbour				liman
611			hardware			donanim
612			headlight			far
613			hide				saklamak
614			hit				carpmak
615			hold				tutmak
616			honest				durust
617			hope				ummak
618			host				misafiretmek
619			humour				espri,mizac
620			hurt				incitmek
621			imagine				hayaletmek
622			import				ithaletmek
623			improve				gelistirmek
624			inform				bilgilendirmek
625			injection			enjektsiyon
626			ink				murekkep
627			insist				israretmek
628			interview			roportaj
629			invent				icatetmek
630			invest				yaptirimyapmak
631			jealous				kiskanc
632			jewel				mucevher
633			law				yasa
634			leaf				yaprak
635			let				izinvermek
636			lie				yalansoylemek
637			liquid				sivi
638			load				yuklemek
639			low				alcak
640			luggage				bagaj
641			measure				olcmek
642			member				uye
643			memory				bellek,hafiza
644			military			askeri
645			mind				akil
646			minister			bakan
647			mosque				cami
648			murder				cinayetislemek
649			muscle				kas
650			narrow				dar
651			necessary			gerekli
652			neck				boyun
653			obey				itaatetmek
654			offer				teklifetmek
655			official			resmi
656			opinion				fikir
657			order				emretmek
658			out-of-date			tarihigecmis
659			owe				borcuolmak
660			own				sahipolmak
661			pain				agri
662			palace				saray
663			passenger			yolcu
664			pavement			kaldirim
665			peace				baris
666			penalty				ceza
667			perform				yerinegetirmek
668			permission			izin
669			pig				domuz
670			pill				hap
671			pleasant			hos
672			plug				elektrikfisi
673			poison				zehir
674			population			nufus
675			prefer				tercihetmek
676			pregnant			hamile
677			press				sIkistirmak
678			primeminister			basbakan
679			private				ozel
680			promise				sozvermek
681			protect				korumak
682			protest				protestoetmek
683			provide				saglamak
684			public				halkaacik
685			publish				yayinlamak
686			punish				cezalandirmak
687			purchase			satinalmak
688			purpose				amac
689			quit				birakmak
690			rate				oran
691			realize				farketmek
692			recover				iyilesmek
693			regular				duzenli
694			remind				hatirlatmak
695			remove				ortadankaldirmak
696			resign				istifaetmek
697			responsible			sorumlu
698			result				sonuc
699			root				kok
700			search				aramak
701			seatbelt			emniyetkemeri
702			secret				sir
703			seem				gorunmek
704			shoot				vurmak
705			shoplifting			asirmak
706			shut				kapatmak
707			signature			imza
708			silk				ipek
709			size				beden
710			skill				yetenek
711			skin				ten,deri
712			sneeze				hapsirmak
713			snore				horlamak
714			socket				duy,priz
715			soldier				asker
716			solve				cozmek
717			souvenir			hediyelikesya
718			space				uzayboslugu
719			spy				casus
720			staff				gorevlipersonel
721			stage				sahne
722			stare				dikdikbakmak
723			stationery			kirtasiye
724			steal				calmak
725			steward				hostes
726			stomach				mide
727			strange				garip
728			stranger			yabanci
729			sudden				ani
730			suffer				acicekmek
731			suggest				onermek
732			support				desteklemek
733			survive				hayattakalmak
734			tail				kuyruk
735			takeoff				(ucak)havalanmak
736			target				hedef
737			temporary			gecici
738			tiny				kucucuk
739			tool				alet
740			trade				ticaret
741			translate			tercumeetmek
742			trip				gezi
743			truck				kamyon
744			trust				guvenmek
745			tyre				lastik
746			update				guncellemek
747			vote				oykullanmak
748			wide				genis
749			wish				dilek
750			wonder				meraketmek
751			account				borchesaplari
752			accountspayable			alacakhesaplari
753			accountsreceivable		borclularhesabi
754			accuse				suclamak
755			achievement			basari
756			adjust				ayarlamak
757			admit				kabuletmek
758			advertise			reklamyapmak
759			advocate			avukat
760			affair				iliski
761			agreement			anlasma
762			agriculture			tarim
763			aim				hedef
764			aisle				gecit
765			allowance			nafaka
766			ambassador			buyukelci
767			amusement			eglence
768			ancient				antik
769			anticipate			ummak
770			apparent			acik,belli
771			appearance			gorunus
772			appreciate			takdiretmek
773			appropriate			uygun
774			approve				kabuletmek,onaylamak
775			argument			tartisma
776			arrest				tutuklamak
777			audience			seyirci
778			avoid				uzakdurmak,kacinmak
779			baggageclaim			bagajalim
780			balancesheet			bilanco
781			bankaccount			bankahesabi
782			bankrupt			iflasetmis
783			bargain				pazarlikyapmak
784			beg				yalvarmak
785			beggar				dilenci
786			blame				suclamak
787			boardofdirectors		yonetimkurulu
788			breath				nefes
789			bribe				rusvetvermek
790			budget				butce
791			candidate			aday
792			cashflow			paraakisi
793			cemetery			mezarlik
794			chamberofcommerce		ticaretodasi
795			charge				ucretlendirmek
796			charming			cekici
797			ChiefExecutive			genelmudur
798			circumstance			durum
799			claim				iddiaetmek
800			clerk				tezgahtar
801			client				musteri
802			coal				komur
803			comment				yorum
804			commerce			ticaret
805			commercial			reklam
806			community			cemiyet
807			competition			rekabet
808			complaint			sIkayet
809			concentrate			konsantreolmak
810			condition			durum,kosul
811			confess				itiraftabulunmak
812			congratulate			tebriketmek
813			congress			kongre,meclis
814			consider			gozonundebulundurmak
815			construction			insaat
816			consult				danismak
817			contest				yarisma
818			contribute			katkidabulunmak
819			convert				donusturmek
820			court				mahkeme
821			crossword			bulmaca
822			cruel				zalim
823			customs				gumruk,tore
824			dashboard			gostergepaneli
825			deadline			sontarih
826			deceive				aldatmak
827			declare				ilanetmek
828			define				tanimlamak
829			deflation			deflasyon,cokme
830			depend				dayanmak/bagliolmak
831			desire				arzuetmek
832			devaluation			degerdusurme
833			diagnose			teshis
834			disappear			ortadankaybolmak
835			disappoint			hayalkirikliginaugramak
836			distance			mesafe
837			distribution			dagitim
838			dreadful			korkunc
839			eager				hevesli
840			election			secim
841			embassy				buyukelcilik
842			encourage			tesviketmek
843			enemy				dusman
844			enterprise			isletme,sirket
845			entrepreneur			girisimci,isletmeci
846			envy				imrenmek
847			essay				makale
848			establish			kurmak
849			estimate			tahminetmek
850			evaluate			degerlendirmek
851			evidence			kanit
852			exaggerate		        abartmak
853			examine				gozdengecirmek
854			exchangerate			dovizkuru
855			exhibition			sergi
856			experiment			deney
857			fame				un
858			fence				cit
859			fix				duzeltmek
860			fluent				akici
861			foolish				aptal
862			forecast			tahminetmek
863			fragile				kirilgan
864			frame				cerceve
865			franchise			imtiyaz,acentelik
866			frequent			sIk
867			fundraising			paratoplama
868			gamble				kumaroynamak
869			gear				vites
870			globalization			kuresellesme
871			government			hukumet
872			grateful			minnettar
873			growthrate			buyumeorani
874			hairdryer			sackurutucusu
875			harvest				hasatetmek
876			hesitate			tereddutetmek
877			hire				kiralamak
878			hitch-hike			otostopyapmak
879			homesick			evozlemiceken
880			identification			kimlik
881			inadvance			onceden
882			include				icermek
883			income				gelir
884			increase			artmak
885			independent			bagimsiz
886			inflation			enflasyon
887			innocent			masum
888			inspection			muayene,inceleme
889			inspector			mufettis
890			insurance			sigorta
891			interestrate			faizorani
892			invoice				fatura
893			judge				yargilamak
894			justice				adalet
895			kidnapping			adamkacirma
896			knowledge			bilgi
897			laborforce			isgucu
898			landlord			evsahibi
899			licenceplate			plaka
900			lifevest			canyelegi
901			loan				kredi
902			loanagreement			kredisozlesmesi
903			magnificent			mukemmel
904			maintain			surdurmek
905			marketshare			pazarpayi
906			marketingresearch		pazararastirmasi
907			marvellous			harikulade
908			massive				muazzam
909			memberofparliament		milletvekili
910			mention				bahsetmek
911			merchandise			mal,esya
912			nation				ulus
913			objective			amac,hedef
914			observe				gozlemlemek
915			obvious				acik,bariz,ortada
916			opportunity			firsat
917			participate			katilmak
918			patience			sabir
919			percentage			yuzde
920			persuade			iknaetmek
921			pollution			kirlilik
922			postpone			ertelemek
923			president			cumhurbaskani
924			pricecontrol			fiyatkontrolu
925			prison				hapishane
926			process				surec
927			profit				kar
928			prohibit			yasaklamak
929			promotion			terfi
930			property			mulk
931			proposal			teklif
932			prove				kanitlamak
933			publicity			tanitma,reklam
934			punctual			dakik
935			punishment			ceza
936			quantity			miktar
937			quarrel				bozusmak,cekismek
938			queue				sira/kuyruk
939			receipt				fatura
940			receive				almak,kabuletmek
941			recognize			tanimak
942			recommend			tavsiyeetmek
943			reduce				azaltmak
944			regret				pismanolmak
945			reject				reddetmek
946			release				serbestbirakmak
947			religion			din
948			reluctant			gonulsuz
949			rely				guvenmek
950			represent			temsiletmek
951			request				ricaetmek
952			resolution			karar
953			resource			kaynak
954			respect				saygigostermek
955			respond				yanitvermek
956			revenue				gelir,ciro
957			revise				gozdengecirmek
958			rub				ovalamak
959			sand				kum
960			schedule			program
961			science				bilim
962			seek				aramak
963			sense				his
964			shake				sallamak
965			share				paylasmak,hisse
966			sink				batmak
967			skyscraper			gokdelen
968			steeringwheel			direksiyon
969			strike				vurmak,grev
970			substitute			yedek
971			supplier			tedarikci
972			suppose				farzetmek
973			swear				yeminetmek
974			takeaction			hareketegecmek
975			takeadvantage			istismaretmek
976			task				gorev
977			tax				vergi
978			throat				bogaz
979			tobook				rezervasyonyapmak
980			torture				iskenceetmek
981			trademark			ticarimarka
982			transmission			vites
983			transmit			ulastirmak
984			treat			        tedavietmek,davranis
985			treatment		        tedavi
986			trick			        kandirmak,hile
987			underline		        altinicizmek
988			unemployment	                issizlik
989			urgent			        acil
990			ValueAddedTax	                katmadegervergisi
991			vat				tekne,fici
992			violent			        siddetli,sert
993			volunteer		        gonullu
994			warehouse		        depo
995			wealthy			        varlikli
996			weapon			        silah
997			whistle			        islikcalmak
998			wholesale		        toptansatis
999			witness			        gorgutanigi
1000		        zip				fermuar
							
							
